"HolderAddress","Balance","PendingBalanceUpdate"
"0xbcfbe80cca9d2188415e5ffe1380d8eba1a7ac0f","71808321.3699412","No"
"0x7b3f89b840a30aa1e1cd995c816069a0cf224c72","14505377","No"
"0x34745905c59f702962f5fe5eba2f811cd3458e6b","23522939","No"
"0x02473d1d77821fa891f405dac95580fced6c24e3","21505377","No"
"0x14f44efbc5cd7693a5392ee43c6c256486d26bdf","296992399.74646","No"
"0x7eda985e7dc746199330935b79bd03a09de3bf4f","19340502","No"
"0x9d503cd50fe07e9ea4d122a3001787c93b70f630","67083323.9829413","No"
"0x3f5b2d07053a39e7d4976c8c090e20869fdc7e81","9670251","No"
"0x638b1ed7ea55b7e7b553108191692b1c83d4674e","18373477","No"
"0xc83a41450ddf5150cbb2505711936fbf16d88bc7","21105377","No"
"0x40100c746a7a5ae6e19c5ce6f1dcdd2a5250e56e","14505377","No"
"0xdc8aed277fa58cc54acc1960c93befc00bb4fcee","14505377","No"
"0x6c8d50df1cc0595a99a6d68de6ca7cfdf01fce59","14505377","No"
"0x51ab5903289f50565f8c86ff130ef97470f31907","9670251","No"
"0x2f1449994dee25a67a55489e2d0ae5248c64736d","102466811.454178","No"
"0xb09e0d2463fce766649c67c8de0c1d4772330a42","14505377","No"
"0x8e1343508cba64eb1ae15c17182685b4e38f37e1","393899465.565863","No"
"0x268f3e5ad9579925fa4de1323df746d1cf0953c8","1670251","No"
"0xc32b6388d33a529b9fc94e432aae33aa536a514b","16670251","No"
"0x4a3e3a1798fdab5e4227ecac8f76b7fb273002c0","51922939","No"
"0x35fcb35ff12b487b0316ab0972e1688560eaf1b4","16270251","No"
"0xe12abc13cb58818392311a377314fe71cd1f185c","505377","No"
"0x4a67992c41d6c66e5ecc566f323ae2a5243aac7a","261558241.955246","No"
"0xda25f270ee7ff1b4f4cdc274a2d5638471038132","26340502","No"
"0xb5465f6f57e983bd5d004a55fab5e047da2b2476","9670251","No"
"0x36a5a3d00a9d57a3b343e609e9bcb983d370e46f","19340502","No"
"0x83c6b43ce668d5f2b08c69c6763459bf94e054fe","19340502","No"
"0x4813d0e37df9be21b5ae479cbfa8dbb2813c4287","9670251","No"
"0xd7f07d794abaf5592086b319e6374e46b9f8424e","14505377","No"
"0xb1fd9cc104f94826c73f4e3a6a3acd7795fe6b88","16670251","No"
"0x65b217860a14f2d1bda4507f8dc3b6b3889d763a","14505377","No"
"0xf11e1bc14491071f2f815fe5b036ecedb4746de8","9670251","No"
"0xf3a4b34d0a340d428006435d8ab1ebdb4b09c3ab","9670251","No"
"0x528e0385cb0fb1b8de2320926f1e4d8b2152978a","4951925335.25517","No"
"0x298476c8e9f5f7be45361abb04e1f925cb8ccdd4","14505377","No"
"0x565de801bac1123909dfa83590cd1e33c13716af","36600000","No"
"0x53e5e0bbfa2f6734025495f65c8227e252f5b1f1","14505377","No"
"0x3473fe243473241a83cadcab7051feab2bd23c33","322257278.727311","No"
"0x0d84b54357c378be0816d96581e5dba84696b1bb","14947093569.235","No"
"0x0028e67231003db5fdd0b022cce62d25295bfb3d","9670251","No"
"0xcd6d5bbb4a142ac8d4194dd90fd39af7003c8560","9670251","No"
"0xc63f17cf7a12706da16c04b383f30ddbfec57688","9670251","No"
"0xeefdaaee298095b257d7bbcd6a85b210f5844744","14505377","No"
"0x16e9325646a8f7dc4a25f3bebb0f4717191acd12","23922939","No"
"0x4a78acde9c40929252119725212150b8cc644ad9","9670251","No"
"0x964a5288966b5f9a16b1934bb2f78b910a493f0c","9670251","No"
"0xd511a8d9448dc95e774000dcc342207144aa9377","9670251","No"
"0x4c9878921b1aa0c0c795cb44b1188146c9942919","80000000.2659867","No"
"0xe653e628f80270f3724dc6f34589e342991a0e3f","16922939","No"
"0xe1e3a1eea18253b5b1ac2cf81982fdb698651737","1129527.45284637","No"
"0x1bd63216f287f41b51dfc11226a2ab139eeb5d83","14505377","No"
"0x55b4e5e6a6a436f83cee27209d70c8ae565d1dd8","14505377","No"
"0x690022ad5b16490be4af6fc9bb4860b9e25d0da1","9670251","No"
"0x5f411eb216238da166fec4caf0f18a7ceb7660c0","16922939","No"
"0xbf6324c2705f10f0e76f2a0e28f3bdd80cbb66e9","65719403.4103451","No"
"0x3ba71c0ceb36d29b4125bce505eb4535ee4c7b3c","23522939","No"
"0xa0753ce6055eeec2559a82c77b7908b98397dca7","23270251","No"
"0x413ba545a1856c02d830f9692076ed50813ef6a6","9670251","No"
"0xd874fa72482ab649da81537e44ede3066b7b900d","14505377","No"
"0xcb4bc38675b58e21510d030d3b1ca25cc9834ec2","16922939","No"
"0xcb72e4e3f54fbd31e4c33e6cc2495a39afb6b3c1","180576710.120711","No"
"0xce85f7cf4833f1542f7b537b80c507b9a222ab38","80641238.7235991","No"
"0xd2b6a0b54ce12a053937ba0d5da27d18535a30c7","28241492.7934578","No"
"0x215dac130f4d9bc9255b32c4dafe93faaa3226fd","14505377","No"
"0x0076a7a180308486f70117ae53a75df5988d60ac","1003071489.27328","No"
"0xa025c1070ad24bc0341fcec90f87f4be094593bd","9670251","No"
"0xacc5acb94ecbd5172d5ebf8c4ee74ae2f641820f","9670251","No"
"0xd9cd135c2da48f427fa08d54672772c11af90923","13170251","No"
"0x71b108b6dc9c1d3aa51f9888fe5e03e93c834082","18373477","No"
"0x088183688634cd03ab3c78727b75ddbf4e14291b","29470251","No"
"0x84cfe31dac7aab1dc3dcbd6b34c9d5f40bc6db4d","16270251","No"
"0x9e53894756141368a8957a471289d1431aea9445","9000000","No"
"0x726b8778cd8d6d5d3c113c7bb9114115c4d6e898","438050000","No"
"0x4ed286da4beb2c5185cbcc563ad8b9c5a447bf98","9670251","No"
"0x17570c6ee7e8a6c77cb312bc5c6fb310128e7a2f","22108642.6622517","No"
"0x59d9d5cfa5e65044df34b2097829c8d7cd068c64","2000007302.87389","No"
"0xb6e33c371be78e0ad05937e21e0f99c109d6cdaf","4029642815.61169","No"
"0xa7070623bd7b3e3072029d85b85583598b58147a","659820837.651894","No"
"0xddde2bf74b6e159fe1ecdeb8ee1b058bece131e8","100","No"
"0x53fdb176df700f4fc33a778ec92ae51b49ab997e","896063122.015872","No"
"0x873362c424d9c07134f9505a6e9fe9167ba644b8","848719748.924867","No"
"0x782fcd7d519258defde455707606409280b0e44d","20307527","No"
"0xdc3cc83eba1958de11b0f33a60460145c56ec88b","29241577","No"
"0x1831b7e082d5668777d44d0f2d16399fdd6b9703","32940502","No"
"0x383656aea0e497fdfcaddb224db0ffa5f21e65bf","1788135553.45551","No"
"0x208b8fe544d7748116c97eec524576aa67c1fc71","16270251","No"
"0x2972a3525b2cec959f7452ed77c263b2b5764b9f","659274522.143467","No"
"0xd5a1e164124fc7eef7f49b80f743010071e97c30","9670251","No"
"0x2d18fbdbd0b6d1b80c2c274f2e081418f709049b","9670251","No"
"0xc1499d7ca2755975ba27896e525bcc3107ddd6d9","16922939","No"
"0x63634972e67c3434c63ee9d22ab868d9fa6f32d9","962596.736209901","No"
"0xebeb20d678dceb6170a34f29515da3b45432ea88","281546643.250778","No"
"0xedf0691418ec2c809cf5f37ce1cde03125da1143","1E-18","No"
"0x8ef3dd2ca2899eacd2161a9e1893a855d5469613","9670251","No"
"0x4f8acb7d917b841e9be7f7175ed6751d540eb08d","2.300459E-12","No"
"0x146290fe7ff998b27e79a5aa1c3040fec6b8d4d3","323508522.821228","No"
"0x7cfff85526c569da96e52c8d20761c53694e0e7d","136659852.46059","No"
"0x5ee923979e3024bb9c5925e850493892b71da8b6","27899021.2024903","No"
"0x4c1b4644bcbd0c277c7b8096600b3c6104e7a990","23270251","No"
"0xd2ade8b8fe3285292887b6d6bc20ac0f3e88e1bd","9670251","No"
"0x719fccf7b4a964a19a1dae884f883d0ed9823b95","18914458.5769405","No"
"0x37f63c7f6b8b616de65eea4ec6859d66ce00b102","21505377","No"
"0x00138608f75d6a45ddcef949b6f1214d80c50efe","9670251","No"
"0x0542567c9f341e30d7533028700ad219b73bc326","9670251","No"
"0xb9094246d90bea14010860c3926777273c1fc12f","21505377","No"
"0x909c545ed09f6a5db3c59b6479537dffdb097938","2267660547.94269","No"
"0xec5381bdc1d68e74e8c28fa50428fce804ac9a00","16670251","No"
"0x7d99cf2c715901cf677ab5056424c566bc9bdafc","413825922.377821","No"
"0x7e688a0b1377e8d77a85f193569503141e2ea6c5","773078779.298375","No"
"0xd8f5bed59b7ef191dab5742a435b451a4cb53c5f","23738375.5817896","No"
"0x3b80a859569f9cffe62a6215c51045c16356d745","212450565.875955","No"
"0x416fa831a632d018c8ffa4acf84832a582ca39ce","380181083.831333","No"
"0xd407acec1a059335222d57cc7d7d39d2fff8481f","21105377","No"
"0x8597328cf673119613296a868ddfca81a834c206","9670251","No"
"0x6f0894b2737d2553a3685b9a083ac181ea1a0812","9670251","No"
"0xd92e04d58da1565287b4df5b9a05edf66f010148","9670251","No"
"0x3e80925de5fb5b47f6a05749db7e06cf36218696","135304310.113332","No"
"0x609493f5cdad916d22315c31beee9cea9530ea0a","9670251","No"
"0xc64af679b1950b3235e6ef8427a0657b4c595fe0","9670251","No"
"0xcbd04d0bb11275f6392a721bb99f63426f33182f","1E-18","No"
"0xe2ec7f66ece44d5b6b7f2754df45e858be0e9735","14505377","No"
"0xba6908aaa7bf9b381ff76a2221e9806215b416b9","18373477","No"
"0xec14a92f61fe5bc39cc32a76b010390eb7d8b48d","9670251","No"
"0x4cee577a2c6448768a8ade77aaa2bfe8080ee087","65878710.1924577","No"
"0x2671c0699bc7d23713145db9f413ebfa361308b7","16922939","No"
"0xaf11811e13d3e59711cd7c24746274d813151d1a","9670251","No"
"0xe4e1a0b0459d89b0a813a1a3164d20b674d0a7fa","9670251","No"
"0x50ffb391b009a438e92508385e1127f6d7bb7c43","9670251","No"
"0x1011aa86130972e9e477d81f02d9724c0f1d6691","9670251","No"
"0xb3f26e046738781b53cdf83c14326c7d51d688d3","9670251","No"
"0x9384df9cfdef8773e1aab32fdcc8e9bb7ed0ea2f","19340502","No"
"0x770d10218303ce0e2f80c2c98c3bda2ce23ec118","9670251","No"
